Time,RSteps,X,Y,Z
588.9893,1,-3171.383,-5686.424,1264.882
588.9692,1,-3171.383,-5686.424,1264.882
588.9492,1,-3171.383,-5686.424,1264.882
588.9292,1,-3171.383,-5686.424,1264.882
588.9092,1,-3171.383,-5686.424,1264.882
588.8892,1,-3171.383,-5686.424,1264.882
588.8691,1,-3171.383,-5686.424,1264.882
588.8491,1,-3171.383,-5686.424,1264.882
588.8291,1,-3171.383,-5686.424,1264.882
588.8091,1,-3171.383,-5686.424,1264.882
588.7891,1,-3171.383,-5686.424,1264.882
588.769,1,-3171.383,-5686.424,1264.882
588.749,1,-3171.383,-5686.424,1264.882
588.729,1,-3171.383,-5686.424,1264.882
588.709,1,-3171.383,-5686.424,1264.882
588.689,1,-3171.383,-5686.424,1264.882
588.6689,1,-3171.383,-5686.424,1264.882
588.6489,1,-3171.383,-5686.424,1264.882
588.6289,1,-3171.383,-5686.424,1264.882
588.6089,1,-3171.383,-5686.424,1264.882
588.5889,1,-3171.383,-5686.424,1264.882
588.5688,1,-3171.383,-5686.424,1264.882
588.5488,1,-3171.383,-5686.424,1264.882
588.5288,1,-3171.383,-5686.424,1264.882
588.5088,1,-3171.383,-5686.424,1264.882
588.4888,1,-3171.383,-5686.424,1264.882
588.4688,1,-3171.383,-5686.424,1264.882
588.4487,1,-3171.383,-5686.424,1264.882
